author_id;year;VG;NG;Period
albin;1736;7;0;L1
alhatton;1700;2;0;E3
alhatton2;1687;4;0;E3
anhatton;1695;5;2;E3
anon;1711;55;2;L1
armin;1608;10;5;E2
aungier;1675;14;3;E3
austen;1800;86;0;L2
authnew;1611;4;12;E2
authold;1611;10;3;E2
bacon;1605;24;31;E2
barclay;1743;47;6;L1
bardsley;1807;47;5;L2
behn;1688;45;3;E3
blundev;1597;40;10;E2
boethel;1593;21;18;E2
boethpr;1695;72;7;E3
boethri;1785;29;2;L2
boswell;1776;32;3;L1
boyle;1676;45;3;E3
boylecol;1664;29;6;E3
brightland;1711;10;2;L1
brinsley;1627;60;39;E2
burnetcha;1713;99;9;L1
burnetroc;1680;73;10;E3
burton;1762;30;3;L1
butler;1726;28;2;L1
capel;1677;8;1;E3
carlyle;1835;20;9;L2
chapman;1774;51;0;L1
charles;1650;19;6;E3
chatton;1692;5;0;E3
cibber;1740;59;1;L1
clowes;1602;26;50;E2
collier;1835;27;1;L2
colman;1805;28;3;L2
commiss;1673;3;1;E3
conway;1623;1;3;E2
conway2;1675;7;1;E3
cook;1776;39;0;L1
cooke;1712;14;2;L1
coverte;1612;11;7;E2
davys;1716;25;1;L1
defoe;1719;16;2;L1
dell;1688;3;0;E3
deloney;1597;13;20;E2
dering;1647;0;4;E3
dickens;1837;37;5;L2
doddridge;1747;53;0;L1
drummond;1690;10;2;E3
drummond;1718;47;12;L1
edmondes;1599;7;15;E2
ehatton2;1690;6;0;E3
eliz;1571;3;2;E2
eoxinden;1650;7;0;E3
essex;1600;1;0;E2
essexstate;1600;14;7;E2
evelyn;1689;57;10;E3
farquhar;1707;33;4;E3
fielding;1749;54;0;L1
fiennes;1698;22;2;E3
forman;1602;5;7;E2
fox;1674;1;0;E3
froude;1830;39;2;L2
fryer;1681;15;13;E3
gawdy;1589;4;8;E2
george;1763;53;0;L1
gibbon;1776;27;0;L1
gifford;1593;35;19;E2
godwin;1805;29;1;L2
goldsmith;1773;23;0;L1
grafting;1780;52;10;L2
harley;1633;6;4;E2
harleyedw;1638;4;2;E2
haydon;1808;36;3;L2
hayward;1612;43;13;E2
herschel;1797;28;6;L2
hind;1707;21;2;E3
hoby;1601;4;0;E2
holmes;1749;36;2;L1
holmes2;1749;57;6;L1
hooke;1665;39;38;E3
hooker;1614;11;15;E2
hoole;1660;96;33;E3
hoxinden;1640;24;9;E3
jackson;1655;0;1;E3
jbarring;1630;7;7;E2
jetaylor;1673;20;3;E3
jetaylormeas;1662;18;0;E3
johnson;1775;15;0;L1
jopinney;1688;3;1;E3
jotaylor;1630;23;19;E2
joxinden;1636;5;2;E2
jubarring;1630;5;2;E2
judall;1590;10;20;E2
kimber;1742;49;2;L1
knyvett;1620;6;6;E2
koxinden;1637;2;0;E2
lancaster;1806;74;0;L2
langf;1696;126;7;E3
lind;1753;36;4;L1
lisle;1685;24;4;E3
locke;1685;65;11;E3
lyell;1830;35;5;L2
madox;1582;10;13;E2
markham;1615;30;79;E2
masham;1630;5;0;E2
maxwell;1747;47;10;L1
memo;1675;8;4;E3
mhatton;1678;6;1;E3
middlet;1630;9;6;E2
milton;1670;18;11;E3
montagu;1718;50;1;L1
montague;1681;1;0;E3
montefiore;1836;59;3;L2
moxinden;1642;2;0;E3
newcome;1796;0;2;L2
nhadd;1700;3;0;E3
oates;1685;18;1;E3
officer;1744;48;0;L1
okeeffe;1826;26;2;L2
osborne;1676;10;3;E3
penny;1687;20;4;E3
pepys;1667;51;27;E3
perrott;1603;13;28;E2
pettit;1628;3;0;E2
phenry;1685;0;2;E3
priestley;1769;59;3;L1
proposals;1677;7;1;E3
proud;1630;0;1;E2
purver;1764;16;6;L1
raleigh;1600;24;16;E2
rcecil;1598;4;4;E2
reeve;1777;22;1;L1
rhaddjr;1692;1;0;E3
rhaddsr;1650;19;0;E3
rich;1624;11;1;E2
roxinden;1620;1;0;E2
roxinden2;1631;2;1;E2
ruskin;1835;32;3;L2
ryder;1716;41;0;L1
shakesp;1599;9;5;E2
skeavington;1840;73;4;L2
smith;1591;10;15;E2
somers;1697;3;0;E3
southard;1686;1;0;E3
southey;1813;39;3;L2
spencer;1680;13;0;E3
stat;1690;56;34;E3
statutes1;1710;100;24;L1
statutes2;1745;57;16;L1
statutes3;1775;85;20;L1
statutes1;1805;67;9;L2
statutes2;1835;71;12;L2
stevens;1745;12;0;L1
stow;1580;0;13;E2
strype;1665;4;1;E3
tbarring;1630;2;2;E2
thoward2;1571;48;79;E2
tillots-a;1671;11;6;E3
tillots-b;1679;12;8;E3
tillots-c;1680;11;5;E3
tindall;1814;49;9;L2
townley;1746;22;4;L1
turner;1799;45;4;L2
vanbr;1697;40;6;E3
walpole;1740;84;5;L1
walton;1676;27;8;E3
watson;1817;92;8;L2
wcecil;1588;0;2;E2
webster;1718;24;0;L1
wellesley;1815;38;0;L2
wesley;1740;26;0;L1
whewell;1837;50;19;L2
wollaston;1793;45;10;L2
